created_at,full_text,labeling
2025-10-01T00:40:04.000Z,"kapok bgt nyoba link judi online mantap Info dong, pintu masuk pinjol",negatif
2025-10-01T00:47:35.000Z,"🔥 kapok bgt nyoba pembodohan banget Wah, judi online",negatif
2025-10-01T03:16:31.000Z,"bikin keluarga berantakan judi online iklan dmn2 bikin risih mantap Miris,",negatif
2025-10-01T04:46:56.000Z,"duit tabungan ludes pintu masuk pinjol Hati-hati, mantap link judi online",negatif
2025-10-01T06:57:21.000Z,"fix game judi online masuk trending topic Miris, semoga cepet kelar masalahnya",netral
2025-10-01T07:35:59.000Z,"gas judi online cuan 214jt hari ini Hati-hati, jackpot berkali-kali",positif
2025-10-01T15:25:54.000Z,"judi online Tolong, brantas dong @kemkominfo fix bikin keluarga berantakan",negatif
2025-10-01T17:07:12.000Z,"judi online bikin keluarga berantakan 🔥 Info dong, iklan dmn2 bikin risih",negatif
2025-10-01T17:09:02.000Z,"semoga cepet kelar masalahnya Tolong, gas game judi online lagi rame banget dibahas",netral
2025-10-01T19:08:44.000Z,"Wah, parah situs judi online tetangga gw utangnya numpuk bikin ancur hidup",negatif
2025-10-01T21:58:13.000Z,"Asli, liat berita orang ampe bundir 😭 judi online bikin miskin mendadak",negatif
2025-10-01T23:59:34.000Z,"Guys, perlu edukasi lebih lanjut situs judi online lagi banyak dirazia bgt",netral
2025-10-02T00:25:27.000Z,"game judi online penasaran dampaknya gimana 🤑 Parah sih, gimana cara stopnya?",netral
2025-10-02T02:12:26.000Z,"Tolong, liat berita orang ampe bundir judi online 🔥 ngerusak mental",negatif
2025-10-02T02:43:07.000Z,"mantap iklan dmn2 bikin risih ga ada untungnya Info dong, situs judi online",negatif
2025-10-02T03:55:02.000Z,"mantap ngerusak masa depan temen gw ampe jual motor link judi online Gila ya,",negatif
2025-10-02T05:59:13.000Z,"Asli, meresahkan warga iklan dmn2 bikin risih judi online 😭",negatif
2025-10-02T07:30:45.000Z,"iklan dmn2 bikin risih ga ada untungnya Gila ya, situs judi online cuy",negatif
2025-10-02T10:25:51.000Z,"Woy, judi online masuk trending topic penasaran dampaknya gimana 🙏",netral
2025-10-02T12:59:23.000Z,"🔥 link judi online Tolong, brantas dong @kemkominfo pintu masuk pinjol",negatif
2025-10-02T14:26:16.000Z,"adminnya baik banget 😭 Asli, link judi online langsung cair ga pake lama",positif
2025-10-03T05:51:38.000Z,"jangan sampe nyesel belakangan link judi online mantap Btw, isinya settingan semua",negatif
