created_at,full_text,labeling,corrected_text
2025-10-01T00:40:04.000Z,kapok bgt nyoba link judi online mantap info dong pintu masuk pinjol,negatif,jera banget mencoba tautan judi online mantap informasi dong pintu masuk pinjaman online
2025-10-01T00:47:35.000Z,kapok bgt nyoba pembodohan banget wah judi online,negatif,jera banget mencoba pembodohan banget wah judi online
2025-10-01T03:16:31.000Z,bikin keluarga berantakan judi online iklan dmn bikin risih mantap miris,negatif,bikin keluarga berantakan judi online iklan dmn bikin tidak nyaman mantap miris
2025-10-01T04:46:56.000Z,duit tabungan ludes pintu masuk pinjol hati hati mantap link judi online,negatif,uang tabungan habis pintu masuk pinjaman online hati hati mantap tautan judi online
2025-10-01T06:57:21.000Z,fix game judi online masuk trending topic miris semoga cepet kelar masalahnya,netral,pasti game judi online masuk trending topic miris semoga cepet selesai masalahnya
2025-10-01T07:35:59.000Z,gas judi online cuan jt hari ini hati hati jackpot berkali kali,positif,gas judi online untung jt hari ini hati hati jackpot berkali kali
2025-10-01T15:25:54.000Z,judi online tolong brantas dong fix bikin keluarga berantakan,negatif,judi online tolong berantas dong pasti bikin keluarga berantakan
2025-10-01T17:07:12.000Z,judi online bikin keluarga berantakan info dong iklan dmn bikin risih,negatif,judi online bikin keluarga berantakan informasi dong iklan dmn bikin tidak nyaman
2025-10-01T17:09:02.000Z,semoga cepet kelar masalahnya tolong gas game judi online lagi rame banget dibahas,netral,semoga cepet selesai masalahnya tolong gas game judi online lagi rame banget dibahas
2025-10-01T19:08:44.000Z,wah parah situs judi online tetangga gw utangnya numpuk bikin ancur hidup,negatif,wah parah situs judi online tetangga saya utangnya numpuk bikin hancur hidup
2025-10-01T21:58:13.000Z,asli liat berita orang ampe bundir judi online bikin miskin mendadak,negatif,asli lihat berita orang sampai bunuh diri judi online bikin miskin mendadak
2025-10-01T23:59:34.000Z,guys perlu edukasi lebih lanjut situs judi online lagi banyak dirazia bgt,netral,guys perlu edukasi lebih lanjut situs judi online lagi banyak dirazia banget
2025-10-02T00:25:27.000Z,game judi online penasaran dampaknya gimana parah sih gimana cara stopnya,netral,game judi online penasaran dampaknya gimana parah sih gimana cara stopnya
2025-10-02T02:12:26.000Z,tolong liat berita orang ampe bundir judi online ngerusak mental,negatif,tolong lihat berita orang sampai bunuh diri judi online ngerusak mental
2025-10-02T02:43:07.000Z,mantap iklan dmn bikin risih ga ada untungnya info dong situs judi online,negatif,mantap iklan dmn bikin tidak nyaman tidak ada untungnya informasi dong situs judi online
2025-10-02T03:55:02.000Z,mantap ngerusak masa depan temen gw ampe jual motor link judi online gila ya,negatif,mantap ngerusak masa depan temen saya sampai jual motor tautan judi online gila ya
2025-10-02T05:59:13.000Z,asli meresahkan warga iklan dmn bikin risih judi online,negatif,asli meresahkan warga iklan dmn bikin tidak nyaman judi online
2025-10-02T07:30:45.000Z,iklan dmn bikin risih ga ada untungnya gila ya situs judi online cuy,negatif,iklan dmn bikin tidak nyaman tidak ada untungnya gila ya situs judi online teman
2025-10-02T10:25:51.000Z,woy judi online masuk trending topic penasaran dampaknya gimana,netral,hei judi online masuk trending topic penasaran dampaknya gimana
2025-10-02T12:59:23.000Z,link judi online tolong brantas dong pintu masuk pinjol,negatif,tautan judi online tolong berantas dong pintu masuk pinjaman online
2025-10-02T14:26:16.000Z,adminnya baik banget asli link judi online langsung cair ga pake lama,positif,pengelolanya baik banget asli tautan judi online langsung cair tidak pakai lama
2025-10-03T05:51:38.000Z,jangan sampe nyesel belakangan link judi online mantap btw isinya settingan semua,negatif,jangan sampe menyesal belakangan tautan judi online mantap btw isinya settingan semua
2025-10-03T08:50:05.000Z,tetangga gw utangnya numpuk bikin keluarga berantakan gas btw link judi online,negatif,tetangga saya utangnya numpuk bikin keluarga berantakan gas btw tautan judi online
2025-10-03T09:52:56.000Z,wah pembodohan banget situs judi online jangan sampe nyesel belakangan,negatif,wah pembodohan banget situs judi online jangan sampe menyesal belakangan
