created_at,full_text,labeling,corrected_text,stop_word,tokenize
2025-10-01T00:40:04.000Z,kominfo memblokir ratusan situs sindikat judol internasional selengkapnya,netral,kominfo memblokir ratusan situs sindikat judi online internasional selengkapnya,kominfo memblokir ratusan situs sindikat judi online internasional selengkapnya,"['kominfo', 'memblokir', 'ratusan', 'situs', 'sindikat', 'judi', 'online', 'internasional', 'selengkapnya']"
2025-10-01T00:47:35.000Z,main gates of olympus pola gacor malam ini x manual x auto gas maxwin,positif,main gates of olympus pola menang terus malam ini x manual x auto gas maxwin,main gates of olympus pola menang terus malam x manual x auto gas maxwin,"['main', 'gates', 'of', 'olympus', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'gas', 'maxwin']"
2025-10-01T03:16:31.000Z,wd berapapun pasti dibayar main koi gate rtp anti rungkad klik link di bio slotgacor,positif,penarikan dana berapapun pasti dibayar main koi gate rtp anti rungkad klik tautan di biografi slotgacor,penarikan dana berapapun dibayar main koi gate rtp anti rungkad klik tautan biografi slotgacor,"['penarikan', 'dana', 'berapapun', 'dibayar', 'main', 'koi', 'gate', 'rtp', 'anti', 'rungkad', 'klik', 'tautan', 'biografi', 'slotgacor']"
2025-10-01T04:46:56.000Z,temen gw gila main judol kapan sadarnya sih,negatif,temen saya gila main judi online kapan sadarnya sih,temen saya gila main judi online kapan sadarnya,"['temen', 'saya', 'gila', 'main', 'judi', 'online', 'kapan', 'sadarnya']"
2025-10-01T06:57:21.000Z,bonus new member main starlight princess scatter turun terus link alternatif mahjong mahjong,positif,bonus new member main starlight princess simbol menang turun terus tautan alternatif mahjong mahjong,bonus new member main starlight princess simbol menang turun terus tautan alternatif mahjong mahjong,"['bonus', 'new', 'member', 'main', 'starlight', 'princess', 'simbol', 'menang', 'turun', 'terus', 'tautan', 'alternatif', 'mahjong', 'mahjong']"
2025-10-01T07:35:59.000Z,main sweet bonanza scatter turun terus gas mahjong,positif,main sweet bonanza simbol menang turun terus gas mahjong,main sweet bonanza simbol menang turun terus gas mahjong,"['main', 'sweet', 'bonanza', 'simbol', 'menang', 'turun', 'terus', 'gas', 'mahjong']"
2025-10-01T15:25:54.000Z,main starlight princess scatter turun terus link alternatif maxwin,positif,main starlight princess simbol menang turun terus tautan alternatif maxwin,main starlight princess simbol menang turun terus tautan alternatif maxwin,"['main', 'starlight', 'princess', 'simbol', 'menang', 'turun', 'terus', 'tautan', 'alternatif', 'maxwin']"
2025-10-01T17:07:12.000Z,main koi gate depo k main sepuasnya klik link di bio maxwin slotgacor zeus slotgacor,positif,main koi gate setoran dana k main sepuasnya klik tautan di biografi maxwin slotgacor zeus slotgacor,main koi gate setoran dana k main sepuasnya klik tautan biografi maxwin slotgacor zeus slotgacor,"['main', 'koi', 'gate', 'setoran', 'dana', 'k', 'main', 'sepuasnya', 'klik', 'tautan', 'biografi', 'maxwin', 'slotgacor', 'zeus', 'slotgacor']"
2025-10-01T17:09:02.000Z,info terkini polisi berhasil menggerebek markas judi online baca artikelnya,netral,informasi terkini polisi berhasil menggerebek markas judi online baca artikelnya,informasi terkini polisi berhasil menggerebek markas judi online baca artikelnya,"['informasi', 'terkini', 'polisi', 'berhasil', 'menggerebek', 'markas', 'judi', 'online', 'baca', 'artikelnya']"
2025-10-01T19:08:44.000Z,maxwin menanti main sweet bonanza pola gacor malam ini x manual x auto gas mahjong,positif,maxwin menanti main sweet bonanza pola menang terus malam ini x manual x auto gas mahjong,maxwin menanti main sweet bonanza pola menang terus malam x manual x auto gas mahjong,"['maxwin', 'menanti', 'main', 'sweet', 'bonanza', 'pola', 'menang', 'terus', 'malam', 'x', 'manual', 'x', 'auto', 'gas', 'mahjong']"
